arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775039908795892529,1775039908795892529,1775039908806084990,0.000000,10.192461,10.192461,200
1775039908858740308,1775039908858740308,1775039908868880459,0.000000,10.140151,10.140151,200
1775039908938635491,1775039908938635491,1775039908948887781,0.000000,10.252290,10.252290,200
1775039908996488868,1775039908996488868,1775039909008343738,0.000000,11.854870,11.854870,200
1775039909054199593,1775039909054199593,1775039909064422135,0.000000,10.222542,10.222542,200
1775039909125592544,1775039909125592544,1775039909133596892,0.000000,8.004348,8.004348,200
1775039909202863943,1775039909202863943,1775039909213961495,0.000000,11.097552,11.097552,200
1775039909260421711,1775039909260421711,1775039909270392294,0.000000,9.970583,9.970583,200
1775039909326611411,1775039909326611411,1775039909336672100,0.000000,10.060689,10.060689,200
1775039909402957771,1775039909402957771,1775039909413634583,0.000000,10.676812,10.676812,200
1775039909483029172,1775039909483029172,1775039909493930265,0.000000,10.901093,10.901093,200
1775039909559547313,1775039909559547313,1775039909572420750,0.000000,12.873437,12.873437,200
1775039909636918149,1775039909636918149,1775039909648677406,0.000000,11.759257,11.759257,200
1775039909714265130,1775039909714265130,1775039909724931693,0.000000,10.666563,10.666563,200
1775039909792183786,1775039909792183786,1775039909801350066,0.000000,9.166280,9.166280,200
1775039909858864476,1775039909858864476,1775039909867589394,0.000000,8.724918,8.724918,200
1775039909925589211,1775039909925589211,1775039909936517679,0.000000,10.928468,10.928468,200
1775039909982621373,1775039909982621373,1775039909995838458,0.000000,13.217085,13.217085,200
1775039910050461092,1775039910050461092,1775039910060997311,0.000000,10.536219,10.536219,200
1775039910107141619,1775039910107141619,1775039910117403054,0.000000,10.261435,10.261435,200
1775039910169201879,1775039910169201879,1775039910180701837,0.000000,11.499958,11.499958,200
1775039910242187174,1775039910242187174,1775039910250254387,0.000000,8.067213,8.067213,200
1775039910299627670,1775039910299627670,1775039910309518557,0.000000,9.890887,9.890887,200
1775039910356333886,1775039910356333886,1775039910367749109,0.000000,11.415223,11.415223,200
1775039910413500145,1775039910413500145,1775039910425723528,0.000000,12.223383,12.223383,200
1775039910471189200,1775039910471189200,1775039910481207451,0.000000,10.018251,10.018251,200
1775039910529546143,1775039910529546143,1775039910540731800,0.000000,11.185657,11.185657,200
1775039910590994884,1775039910590994884,1775039910601927004,0.000000,10.932120,10.932120,200
