arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms
1771215458285639967,1771215458285639967,1771215458285713967,0.000000,0.074000,0.074000
1771215458764045467,1771215458764045467,1771215458764266467,0.000000,0.221000,0.221000
1771215459263770101,1771215459263770101,1771215459263953101,0.000000,0.183000,0.183000
1771215459764266604,1771215459764266604,1771215459764331604,0.000000,0.065000,0.065000
1771215460264033346,1771215460264033346,1771215460264114346,0.000000,0.081000,0.081000
1771215460764747815,1771215460764747815,1771215460765046815,0.000000,0.299000,0.299000
1771215461263966041,1771215461263966041,1771215461264140041,0.000000,0.174000,0.174000
1771215461764089441,1771215461764089441,1771215461764207441,0.000000,0.118000,0.118000
1771215462264181633,1771215462264181633,1771215462264264633,0.000000,0.083000,0.083000
1771215462763997383,1771215462763997383,1771215462764092383,0.000000,0.095000,0.095000
1771215463263898272,1771215463263898272,1771215463264098272,0.000000,0.200000,0.200000
1771215463764193543,1771215463764193543,1771215463764294543,0.000000,0.101000,0.101000
1771215464263816394,1771215464263816394,1771215464263912394,0.000000,0.096000,0.096000
1771215464763976794,1771215464763976794,1771215464764089794,0.000000,0.113000,0.113000
1771215465263729645,1771215465263729645,1771215465263834645,0.000000,0.105000,0.105000
1771215465763924777,1771215465763924777,1771215465764406777,0.000000,0.482000,0.482000
1771215467455331494,1771215467455331494,1771215467455452494,0.000000,0.121000,0.121000
1771215467955406997,1771215467955406997,1771215467955663997,0.000000,0.257000,0.257000
1771215468455985326,1771215468455985326,1771215468456233326,0.000000,0.248000,0.248000
1771215468955072745,1771215468955072745,1771215468955205745,0.000000,0.133000,0.133000
1771215469456417795,1771215469456417795,1771215469456600795,0.000000,0.183000,0.183000
1771215469956336725,1771215469956336725,1771215469956394725,0.000000,0.058000,0.058000
1771215470455689407,1771215470455689407,1771215470455864407,0.000000,0.175000,0.175000
1771215470955612689,1771215470955612689,1771215470955751689,0.000000,0.139000,0.139000
1771215471455396945,1771215471455396945,1771215471455458945,0.000000,0.062000,0.062000
1771215471955645287,1771215471955645287,1771215471955917287,0.000000,0.272000,0.272000
1771215472455323952,1771215472455323952,1771215472455508952,0.000000,0.185000,0.185000
1771215472955145299,1771215472955145299,1771215472955209299,0.000000,0.064000,0.064000
1771215473455680308,1771215473455680308,1771215473455823308,0.000000,0.143000,0.143000
1771215473955290265,1771215473955290265,1771215473955346265,0.000000,0.056000,0.056000
1771215474456112279,1771215474456112279,1771215474456529279,0.000000,0.417000,0.417000
1771215474955419275,1771215474955419275,1771215474955545275,0.000000,0.126000,0.126000
1771215475456055820,1771215475456055820,1771215475456187820,0.000000,0.132000,0.132000
1771215475955672751,1771215475955672751,1771215475955754751,0.000000,0.082000,0.082000
1771215476455738454,1771215476455738454,1771215476455899454,0.000000,0.161000,0.161000
1771215476955232538,1771215476955232538,1771215476955421538,0.000000,0.189000,0.189000
1771215477455853562,1771215477455853562,1771215477455914562,0.000000,0.061000,0.061000
1771215477955334742,1771215477955334742,1771215477955566742,0.000000,0.232000,0.232000
1771215478455524219,1771215478455524219,1771215478455629219,0.000000,0.105000,0.105000
