arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775039381808000000,1775039381808000000,1775039381808181088,0.000000,0.181088,0.181088,200
1775039381843000000,1775039381843000000,1775039381843176719,0.000000,0.176719,0.176719,200
1775039381876000000,1775039381876000000,1775039381876175107,0.000000,0.175107,0.175107,200
1775039381920000000,1775039381920000000,1775039381920189384,0.000000,0.189384,0.189384,200
1775039381953000000,1775039381953000000,1775039381953176128,0.000000,0.176128,0.176128,200
1775039381986000000,1775039381986000000,1775039381986639796,0.000000,0.639796,0.639796,200
1775039382020000000,1775039382020000000,1775039382020185848,0.000000,0.185848,0.185848,200
1775039382052000000,1775039382052000000,1775039382052177521,0.000000,0.177521,0.177521,200
1775039382083000000,1775039382083000000,1775039382083176900,0.000000,0.176900,0.176900,200
1775039382137000000,1775039382137000000,1775039382137230135,0.000000,0.230135,0.230135,200
1775039382170000000,1775039382170000000,1775039382170169395,0.000000,0.169395,0.169395,200
1775039382205000000,1775039382205000000,1775039382205176820,0.000000,0.176820,0.176820,200
1775039382239000000,1775039382239000000,1775039382239286256,0.000000,0.286256,0.286256,200
1775039382275000000,1775039382275000000,1775039382275173584,0.000000,0.173584,0.173584,200
1775039382324000000,1775039382324000000,1775039382324203513,0.000000,0.203513,0.203513,200
1775039382358000000,1775039382358000000,1775039382358278631,0.000000,0.278631,0.278631,200
1775039382391000000,1775039382391000000,1775039382392061386,0.000000,1.061386,1.061386,200
1775039382428000000,1775039382428000000,1775039382428184755,0.000000,0.184755,0.184755,200
1775039382461000000,1775039382461000000,1775039382461191378,0.000000,0.191378,0.191378,200
1775039382509000000,1775039382509000000,1775039382509178083,0.000000,0.178083,0.178083,200
1775039382557000000,1775039382557000000,1775039382557188022,0.000000,0.188022,0.188022,200
1775039382589000000,1775039382589000000,1775039382589265275,0.000000,0.265275,0.265275,200
1775039382621000000,1775039382621000000,1775039382621173934,0.000000,0.173934,0.173934,200
1775039382655000000,1775039382655000000,1775039382655177210,0.000000,0.177210,0.177210,200
1775039382689000000,1775039382689000000,1775039382689262930,0.000000,0.262930,0.262930,200
1775039382723000000,1775039382723000000,1775039382723195347,0.000000,0.195347,0.195347,200
1775039382775000000,1775039382775000000,1775039382775176359,0.000000,0.176359,0.176359,200
1775039382808000000,1775039382808000000,1775039382808627541,0.000000,0.627541,0.627541,200
1775039382841000000,1775039382841000000,1775039382841174405,0.000000,0.174405,0.174405,200
1775039382874000000,1775039382874000000,1775039382874174395,0.000000,0.174395,0.174395,200
1775039382908000000,1775039382908000000,1775039382908171739,0.000000,0.171739,0.171739,200
1775039382941000000,1775039382941000000,1775039382941188793,0.000000,0.188793,0.188793,200
1775039382975000000,1775039382975000000,1775039382975260475,0.000000,0.260475,0.260475,200
1775039383011000000,1775039383011000000,1775039383011231428,0.000000,0.231428,0.231428,200
1775039383045000000,1775039383045000000,1775039383045241498,0.000000,0.241498,0.241498,200
1775039383083000000,1775039383083000000,1775039383083258020,0.000000,0.258020,0.258020,200
1775039383134000000,1775039383134000000,1775039383134275355,0.000000,0.275355,0.275355,200
1775039383175000000,1775039383175000000,1775039383175281917,0.000000,0.281917,0.281917,200
1775039383219000000,1775039383219000000,1775039383220026611,0.000000,1.026611,1.026611,200
1775039383267000000,1775039383267000000,1775039383267290194,0.000000,0.290194,0.290194,200
1775039383302000000,1775039383302000000,1775039383302179265,0.000000,0.179265,0.179265,200
1775039383350000000,1775039383350000000,1775039383350259042,0.000000,0.259042,0.259042,200
1775039383382000000,1775039383382000000,1775039383382174816,0.000000,0.174816,0.174816,200
1775039383415000000,1775039383415000000,1775039383415198272,0.000000,0.198272,0.198272,200
1775039383448000000,1775039383448000000,1775039383448246077,0.000000,0.246077,0.246077,200
1775039383480000000,1775039383480000000,1775039383480170256,0.000000,0.170256,0.170256,200
1775039383512000000,1775039383512000000,1775039383512175257,0.000000,0.175257,0.175257,200
1775039383545000000,1775039383545000000,1775039383545191298,0.000000,0.191298,0.191298,200
1775039383598000000,1775039383598000000,1775039383598177952,0.000000,0.177952,0.177952,200
1775039383630000000,1775039383630000000,1775039383630689113,0.000000,0.689113,0.689113,200
1775039383663000000,1775039383663000000,1775039383663248302,0.000000,0.248302,0.248302,200
1775039383697000000,1775039383697000000,1775039383697177782,0.000000,0.177782,0.177782,200
1775039383730000000,1775039383730000000,1775039383730251939,0.000000,0.251939,0.251939,200
1775039383763000000,1775039383763000000,1775039383763186589,0.000000,0.186589,0.186589,200
1775039383796000000,1775039383796000000,1775039383796257539,0.000000,0.257539,0.257539,200
1775039383831000000,1775039383831000000,1775039383831306426,0.000000,0.306426,0.306426,200
1775039383866000000,1775039383866000000,1775039383866290445,0.000000,0.290445,0.290445,200
1775039383903000000,1775039383903000000,1775039383903259123,0.000000,0.259123,0.259123,200
1775039383957000000,1775039383957000000,1775039383957262319,0.000000,0.262319,0.262319,200
1775039384003000000,1775039384003000000,1775039384003191399,0.000000,0.191399,0.191399,200
1775039384037000000,1775039384037000000,1775039384037851865,0.000000,0.851865,0.851865,200
1775039384081000000,1775039384081000000,1775039384081205046,0.000000,0.205046,0.205046,200
1775039384112000000,1775039384112000000,1775039384112186900,0.000000,0.186900,0.186900,200
1775039384146000000,1775039384146000000,1775039384146174506,0.000000,0.174506,0.174506,200
1775039384181000000,1775039384181000000,1775039384181230346,0.000000,0.230346,0.230346,200
1775039384217000000,1775039384217000000,1775039384217180557,0.000000,0.180557,0.180557,200
1775039384267000000,1775039384267000000,1775039384267174966,0.000000,0.174966,0.174966,200
1775039384315000000,1775039384315000000,1775039384315235446,0.000000,0.235446,0.235446,200
1775039384361000000,1775039384361000000,1775039384361190016,0.000000,0.190016,0.190016,200
1775039384407000000,1775039384407000000,1775039384407174345,0.000000,0.174345,0.174345,200
1775039384453000000,1775039384453000000,1775039384453170898,0.000000,0.170898,0.170898,200
1775039384500000000,1775039384500000000,1775039384500647942,0.000000,0.647942,0.647942,200
1775039384547000000,1775039384547000000,1775039384547207741,0.000000,0.207741,0.207741,200
1775039384593000000,1775039384593000000,1775039384593212040,0.000000,0.212040,0.212040,200
1775039384627000000,1775039384627000000,1775039384627186188,0.000000,0.186188,0.186188,200
1775039384670000000,1775039384670000000,1775039384670263191,0.000000,0.263191,0.263191,200
1775039384703000000,1775039384703000000,1775039384703177521,0.000000,0.177521,0.177521,200
1775039384747000000,1775039384747000000,1775039384747244844,0.000000,0.244844,0.244844,200
1775039384794000000,1775039384794000000,1775039384794175067,0.000000,0.175067,0.175067,200
1775039384828000000,1775039384828000000,1775039384828174926,0.000000,0.174926,0.174926,200
1775039384872000000,1775039384872000000,1775039384872185136,0.000000,0.185136,0.185136,200
1775039384920000000,1775039384920000000,1775039384920179475,0.000000,0.179475,0.179475,200
1775039384966000000,1775039384966000000,1775039384966623503,0.000000,0.623503,0.623503,200
1775039385000000000,1775039385000000000,1775039385000204675,0.000000,0.204675,0.204675,200
1775039385045000000,1775039385045000000,1775039385045178253,0.000000,0.178253,0.178253,200
1775039385079000000,1775039385079000000,1775039385079168363,0.000000,0.168363,0.168363,200
1775039385123000000,1775039385123000000,1775039385123234093,0.000000,0.234093,0.234093,200
1775039385169000000,1775039385169000000,1775039385169176159,0.000000,0.176159,0.176159,200
1775039385206000000,1775039385206000000,1775039385206205226,0.000000,0.205226,0.205226,200
1775039385261000000,1775039385261000000,1775039385261188383,0.000000,0.188383,0.188383,200
1775039385293000000,1775039385293000000,1775039385293190056,0.000000,0.190056,0.190056,200
1775039385325000000,1775039385325000000,1775039385325174135,0.000000,0.174135,0.174135,200
1775039385359000000,1775039385359000000,1775039385359178523,0.000000,0.178523,0.178523,200
1775039385399000000,1775039385399000000,1775039385399663503,0.000000,0.663503,0.663503,200
1775039385434000000,1775039385434000000,1775039385434233843,0.000000,0.233843,0.233843,200
