arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775039381808000000,1775039381808000000,1775039381808185587,0.000000,0.185587,0.185587,200
1775039381843000000,1775039381843000000,1775039381896134819,0.000000,53.134819,53.134819,200
1775039381876000000,1775039381876000000,1775039381876139406,0.000000,0.139406,0.139406,200
1775039381920000000,1775039381920000000,1775039381920410204,0.000000,0.410204,0.410204,200
1775039381953000000,1775039381953000000,1775039381953213213,0.000000,0.213213,0.213213,200
1775039381986000000,1775039381986000000,1775039381986288150,0.000000,0.288150,0.288150,200
1775039382020000000,1775039382020000000,1775039382020296005,0.000000,0.296005,0.296005,200
1775039382052000000,1775039382052000000,1775039382052131560,0.000000,0.131560,0.131560,200
1775039382083000000,1775039382083000000,1775039382083163543,0.000000,0.163543,0.163543,200
1775039382137000000,1775039382137000000,1775039382137135308,0.000000,0.135308,0.135308,200
1775039382170000000,1775039382170000000,1775039382170197350,0.000000,0.197350,0.197350,200
1775039382205000000,1775039382205000000,1775039382205461101,0.000000,0.461101,0.461101,200
1775039382239000000,1775039382239000000,1775039382239457546,0.000000,0.457546,0.457546,200
1775039382275000000,1775039382275000000,1775039382275141801,0.000000,0.141801,0.141801,200
1775039382324000000,1775039382324000000,1775039382324228474,0.000000,0.228474,0.228474,200
1775039382358000000,1775039382358000000,1775039382358185126,0.000000,0.185126,0.185126,200
1775039382391000000,1775039382391000000,1775039382391182070,0.000000,0.182070,0.182070,200
1775039382428000000,1775039382428000000,1775039382428206196,0.000000,0.206196,0.206196,200
1775039382461000000,1775039382461000000,1775039382461133093,0.000000,0.133093,0.133093,200
1775039382509000000,1775039382509000000,1775039382509135388,0.000000,0.135388,0.135388,200
1775039382557000000,1775039382557000000,1775039382557158395,0.000000,0.158395,0.158395,200
1775039382589000000,1775039382589000000,1775039382589193113,0.000000,0.193113,0.193113,200
1775039382621000000,1775039382621000000,1775039382621133264,0.000000,0.133264,0.133264,200
1775039382655000000,1775039382655000000,1775039382655186589,0.000000,0.186589,0.186589,200
1775039382689000000,1775039382689000000,1775039382689173081,0.000000,0.173081,0.173081,200
1775039382723000000,1775039382723000000,1775039382723170097,0.000000,0.170097,0.170097,200
1775039382775000000,1775039382775000000,1775039382775145729,0.000000,0.145729,0.145729,200
1775039382808000000,1775039382808000000,1775039382808513860,0.000000,0.513860,0.513860,200
1775039382841000000,1775039382841000000,1775039382841177180,0.000000,0.177180,0.177180,200
1775039382874000000,1775039382874000000,1775039382874232181,0.000000,0.232181,0.232181,200
1775039382908000000,1775039382908000000,1775039382908130308,0.000000,0.130308,0.130308,200
1775039382941000000,1775039382941000000,1775039382941203422,0.000000,0.203422,0.203422,200
1775039382975000000,1775039382975000000,1775039382975174435,0.000000,0.174435,0.174435,200
1775039383011000000,1775039383011000000,1775039383011150537,0.000000,0.150537,0.150537,200
1775039383045000000,1775039383045000000,1775039383045187992,0.000000,0.187992,0.187992,200
1775039383083000000,1775039383083000000,1775039383083185527,0.000000,0.185527,0.185527,200
1775039383134000000,1775039383134000000,1775039383134222019,0.000000,0.222019,0.222019,200
1775039383175000000,1775039383175000000,1775039383175172092,0.000000,0.172092,0.172092,200
1775039383219000000,1775039383219000000,1775039383219242058,0.000000,0.242058,0.242058,200
1775039383267000000,1775039383267000000,1775039383267190538,0.000000,0.190538,0.190538,200
1775039383302000000,1775039383302000000,1775039383302129487,0.000000,0.129487,0.129487,200
1775039383350000000,1775039383350000000,1775039383350411254,0.000000,0.411254,0.411254,200
1775039383382000000,1775039383382000000,1775039383382195647,0.000000,0.195647,0.195647,200
1775039383415000000,1775039383415000000,1775039383415193112,0.000000,0.193112,0.193112,200
1775039383448000000,1775039383448000000,1775039383448141611,0.000000,0.141611,0.141611,200
1775039383480000000,1775039383480000000,1775039383480280374,0.000000,0.280374,0.280374,200
1775039383512000000,1775039383512000000,1775039383512136078,0.000000,0.136078,0.136078,200
1775039383545000000,1775039383545000000,1775039383545308801,0.000000,0.308801,0.308801,200
1775039383598000000,1775039383598000000,1775039383598360262,0.000000,0.360262,0.360262,200
1775039383630000000,1775039383630000000,1775039383630134867,0.000000,0.134867,0.134867,200
1775039383663000000,1775039383663000000,1775039383663211710,0.000000,0.211710,0.211710,200
1775039383697000000,1775039383697000000,1775039383697192682,0.000000,0.192682,0.192682,200
1775039383730000000,1775039383730000000,1775039383730209686,0.000000,0.209686,0.209686,200
1775039383763000000,1775039383763000000,1775039383763180277,0.000000,0.180277,0.180277,200
1775039383796000000,1775039383796000000,1775039383796211979,0.000000,0.211979,0.211979,200
1775039383831000000,1775039383831000000,1775039383831310457,0.000000,0.310457,0.310457,200
1775039383866000000,1775039383866000000,1775039383866213292,0.000000,0.213292,0.213292,200
1775039383903000000,1775039383903000000,1775039383903133203,0.000000,0.133203,0.133203,200
1775039383957000000,1775039383957000000,1775039383957159615,0.000000,0.159615,0.159615,200
1775039384003000000,1775039384003000000,1775039384003204544,0.000000,0.204544,0.204544,200
1775039384037000000,1775039384037000000,1775039384037137973,0.000000,0.137973,0.137973,200
1775039384081000000,1775039384081000000,1775039384081170198,0.000000,0.170198,0.170198,200
1775039384112000000,1775039384112000000,1775039384112141642,0.000000,0.141642,0.141642,200
1775039384146000000,1775039384146000000,1775039384146243912,0.000000,0.243912,0.243912,200
1775039384181000000,1775039384181000000,1775039384181179563,0.000000,0.179563,0.179563,200
1775039384217000000,1775039384217000000,1775039384217134286,0.000000,0.134286,0.134286,200
1775039384267000000,1775039384267000000,1775039384267159135,0.000000,0.159135,0.159135,200
1775039384315000000,1775039384315000000,1775039384315706773,0.000000,0.706773,0.706773,200
1775039384361000000,1775039384361000000,1775039384361169416,0.000000,0.169416,0.169416,200
1775039384407000000,1775039384407000000,1775039384407192340,0.000000,0.192340,0.192340,200
1775039384453000000,1775039384453000000,1775039384453230367,0.000000,0.230367,0.230367,200
1775039384500000000,1775039384500000000,1775039384500260527,0.000000,0.260527,0.260527,200
1775039384547000000,1775039384547000000,1775039384547171469,0.000000,0.171469,0.171469,200
1775039384593000000,1775039384593000000,1775039384593204905,0.000000,0.204905,0.204905,200
1775039384627000000,1775039384627000000,1775039384627135619,0.000000,0.135619,0.135619,200
1775039384670000000,1775039384670000000,1775039384670176659,0.000000,0.176659,0.176659,200
1775039384703000000,1775039384703000000,1775039384703149355,0.000000,0.149355,0.149355,200
1775039384747000000,1775039384747000000,1775039384747150709,0.000000,0.150709,0.150709,200
1775039384794000000,1775039384794000000,1775039384794170789,0.000000,0.170789,0.170789,200
1775039384828000000,1775039384828000000,1775039384828171779,0.000000,0.171779,0.171779,200
1775039384872000000,1775039384872000000,1775039384872139417,0.000000,0.139417,0.139417,200
1775039384920000000,1775039384920000000,1775039384920185938,0.000000,0.185938,0.185938,200
1775039384966000000,1775039384966000000,1775039384966132673,0.000000,0.132673,0.132673,200
1775039385000000000,1775039385000000000,1775039385000189836,0.000000,0.189836,0.189836,200
1775039385045000000,1775039385045000000,1775039385045176640,0.000000,0.176640,0.176640,200
1775039385079000000,1775039385079000000,1775039385079270637,0.000000,0.270637,0.270637,200
1775039385123000000,1775039385123000000,1775039385123166489,0.000000,0.166489,0.166489,200
1775039385169000000,1775039385169000000,1775039385169836641,0.000000,0.836641,0.836641,200
1775039385206000000,1775039385206000000,1775039385206288150,0.000000,0.288150,0.288150,200
1775039385261000000,1775039385261000000,1775039385261132382,0.000000,0.132382,0.132382,200
