arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775046744253184164,1775046744253184164,1775046744259826164,0.000000,6.642000,6.642000,200
1775046744269958069,1775046744269958069,1775046744274270069,0.000000,4.312000,4.312000,200
1775046744286168569,1775046744286168569,1775046744290795569,0.000000,4.627000,4.627000,200
1775046744321019989,1775046744321019989,1775046744324955989,0.000000,3.936000,3.936000,200
1775046744336564260,1775046744336564260,1775046744344347260,0.000000,7.783000,7.783000,200
1775046744352075042,1775046744352075042,1775046744356151042,0.000000,4.076000,4.076000,200
1775046744367234388,1775046744367234388,1775046744371390388,0.000000,4.156000,4.156000,200
1775046744382753562,1775046744382753562,1775046744387676562,0.000000,4.923000,4.923000,200
1775046744398598794,1775046744398598794,1775046744403988794,0.000000,5.390000,5.390000,200
1775046744429746097,1775046744429746097,1775046744436036097,0.000000,6.290000,6.290000,200
1775046744447651174,1775046744447651174,1775046744452037174,0.000000,4.386000,4.386000,200
1775046744463213259,1775046744463213259,1775046744469035259,0.000000,5.822000,5.822000,200
1775046744491814250,1775046744491814250,1775046744504052250,0.000000,12.238000,12.238000,200
1775046744508198428,1775046744508198428,1775046744510066428,0.000000,1.868000,1.868000,200
1775046744525483530,1775046744525483530,1775046744531434530,0.000000,5.951000,5.951000,200
1775046744553938100,1775046744553938100,1775046744561620100,0.000000,7.682000,7.682000,200
1775046744584552482,1775046744584552482,1775046744591638482,0.000000,7.086000,7.086000,200
1775046744600096611,1775046744600096611,1775046744605314611,0.000000,5.218000,5.218000,200
1775046744616546500,1775046744616546500,1775046744627422500,0.000000,10.876000,10.876000,200
1775046744647144108,1775046744647144108,1775046744656562108,0.000000,9.418000,9.418000,200
1775046744662470281,1775046744662470281,1775046744666771281,0.000000,4.301000,4.301000,200
1775046744680083310,1775046744680083310,1775046744684314310,0.000000,4.231000,4.231000,200
1775046744697145295,1775046744697145295,1775046744702090295,0.000000,4.945000,4.945000,200
1775046744713476090,1775046744713476090,1775046744717584090,0.000000,4.108000,4.108000,200
1775046744730483149,1775046744730483149,1775046744735085149,0.000000,4.602000,4.602000,200
1775046744748092599,1775046744748092599,1775046744752378599,0.000000,4.286000,4.286000,200
1775046744765149670,1775046744765149670,1775046744768304670,0.000000,3.155000,3.155000,200
1775046744781288217,1775046744781288217,1775046744785366217,0.000000,4.078000,4.078000,200
1775046744797765361,1775046744797765361,1775046744800743361,0.000000,2.978000,2.978000,200
1775046744813474264,1775046744813474264,1775046744819039264,0.000000,5.565000,5.565000,200
1775046744828522307,1775046744828522307,1775046744832788307,0.000000,4.266000,4.266000,200
1775046744845179297,1775046744845179297,1775046744849356297,0.000000,4.177000,4.177000,200
1775046744862080237,1775046744862080237,1775046744866613237,0.000000,4.533000,4.533000,200
1775046744877776447,1775046744877776447,1775046744882483447,0.000000,4.707000,4.707000,200
1775046744893307435,1775046744893307435,1775046744896910435,0.000000,3.603000,3.603000,200
1775046744908529580,1775046744908529580,1775046744912661580,0.000000,4.132000,4.132000,200
1775046744924743610,1775046744924743610,1775046744929159610,0.000000,4.416000,4.416000,200
1775046744957941831,1775046744957941831,1775046744962764831,0.000000,4.823000,4.823000,200
1775046744973530221,1775046744973530221,1775046744982567221,0.000000,9.037000,9.037000,200
1775046744988439011,1775046744988439011,1775046744994129011,0.000000,5.690000,5.690000,200
1775046745021458205,1775046745021458205,1775046745030048205,0.000000,8.590000,8.590000,200
1775046745037314738,1775046745037314738,1775046745040934738,0.000000,3.620000,3.620000,200
1775046745052281825,1775046745052281825,1775046745055962825,0.000000,3.681000,3.681000,200
1775046745084905111,1775046745084905111,1775046745088911111,0.000000,4.006000,4.006000,200
1775046745105604857,1775046745105604857,1775046745116833857,0.000000,11.229000,11.229000,200
1775046745121390048,1775046745121390048,1775046745125606048,0.000000,4.216000,4.216000,200
1775046745137015832,1775046745137015832,1775046745141904832,0.000000,4.889000,4.889000,200
1775046745153308801,1775046745153308801,1775046745161757801,0.000000,8.449000,8.449000,200
1775046745168448267,1775046745168448267,1775046745174154267,0.000000,5.706000,5.706000,200
1775046745187573492,1775046745187573492,1775046745193232492,0.000000,5.659000,5.659000,200
1775046745224574971,1775046745224574971,1775046745229096971,0.000000,4.522000,4.522000,200
1775046745243831333,1775046745243831333,1775046745248429333,0.000000,4.598000,4.598000,200
1775046745261542256,1775046745261542256,1775046745266386256,0.000000,4.844000,4.844000,200
1775046745279218906,1775046745279218906,1775046745282683906,0.000000,3.465000,3.465000,200
1775046745295590892,1775046745295590892,1775046745302213892,0.000000,6.623000,6.623000,200
1775046745332468731,1775046745332468731,1775046745336800731,0.000000,4.332000,4.332000,200
1775046745349572285,1775046745349572285,1775046745357895285,0.000000,8.323000,8.323000,200
1775046745379087844,1775046745379087844,1775046745383686844,0.000000,4.599000,4.599000,200
1775046745410124858,1775046745410124858,1775046745415919858,0.000000,5.795000,5.795000,200
1775046745441519129,1775046745441519129,1775046745445042129,0.000000,3.523000,3.523000,200
1775046745458389952,1775046745458389952,1775046745463054952,0.000000,4.665000,4.665000,200
1775046745477542150,1775046745477542150,1775046745483502150,0.000000,5.960000,5.960000,200
1775046745496385586,1775046745496385586,1775046745501614586,0.000000,5.229000,5.229000,200
1775046745534414678,1775046745534414678,1775046745538470678,0.000000,4.056000,4.056000,200
1775046745565601253,1775046745565601253,1775046745570735253,0.000000,5.134000,5.134000,200
1775046745581301440,1775046745581301440,1775046745588658440,0.000000,7.357000,7.357000,200
1775046745596268174,1775046745596268174,1775046745600993174,0.000000,4.725000,4.725000,200
1775046745612528952,1775046745612528952,1775046745617032952,0.000000,4.504000,4.504000,200
1775046745630252671,1775046745630252671,1775046745635727671,0.000000,5.475000,5.475000,200
1775046745645509100,1775046745645509100,1775046745649383100,0.000000,3.874000,3.874000,200
1775046745661849813,1775046745661849813,1775046745666097813,0.000000,4.248000,4.248000,200
1775046745689817269,1775046745689817269,1775046745695308269,0.000000,5.491000,5.491000,200
1775046745704485938,1775046745704485938,1775046745708863938,0.000000,4.378000,4.378000,200
1775046745720442858,1775046745720442858,1775046745724938858,0.000000,4.496000,4.496000,200
1775046745736967804,1775046745736967804,1775046745740715804,0.000000,3.748000,3.748000,200
1775046745768238718,1775046745768238718,1775046745773336718,0.000000,5.098000,5.098000,200
1775046745784748254,1775046745784748254,1775046745789262254,0.000000,4.514000,4.514000,200
1775046745800024817,1775046745800024817,1775046745804540817,0.000000,4.516000,4.516000,200
1775046745817691728,1775046745817691728,1775046745821579728,0.000000,3.888000,3.888000,200
1775046745834531673,1775046745834531673,1775046745855387673,0.000000,20.856000,20.856000,200
1775046745851458445,1775046745851458445,1775046745867003445,0.000000,15.545000,15.545000,200
1775046745878989023,1775046745878989023,1775046745883228023,0.000000,4.239000,4.239000,200
