arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775038840340207396,1775038840340207396,1775038840359895811,0.000000,19.688415,19.688415,200
1775038840493677423,1775038840493677423,1775038840500080668,0.000000,6.403245,6.403245,200
1775038840617333270,1775038840617333270,1775038840624476959,0.000000,7.143689,7.143689,200
1775038840741125960,1775038840741125960,1775038840747784163,0.000000,6.658203,6.658203,200
1775038840866077106,1775038840866077106,1775038840873047129,0.000000,6.970023,6.970023,200
1775038840997197016,1775038840997197016,1775038841004196368,0.000000,6.999352,6.999352,200
1775038841131918486,1775038841131918486,1775038841138542110,0.000000,6.623624,6.623624,200
1775038841256087390,1775038841256087390,1775038841262906253,0.000000,6.818863,6.818863,200
1775038841397382856,1775038841397382856,1775038841404047622,0.000000,6.664766,6.664766,200
1775038841522167519,1775038841522167519,1775038841528818207,0.000000,6.650688,6.650688,200
1775038841664941161,1775038841664941161,1775038841672002976,0.000000,7.061815,7.061815,200
1775038841791211405,1775038841791211405,1775038841797950950,0.000000,6.739545,6.739545,200
1775038841915215206,1775038841915215206,1775038841922732998,0.000000,7.517792,7.517792,200
1775038842044056015,1775038842044056015,1775038842053882539,0.000000,9.826524,9.826524,200
1775038842178489506,1775038842178489506,1775038842185035596,0.000000,6.546090,6.546090,200
1775038842320365956,1775038842320365956,1775038842326858159,0.000000,6.492203,6.492203,200
1775038842448978638,1775038842448978638,1775038842456144401,0.000000,7.165763,7.165763,200
1775038842578925378,1775038842578925378,1775038842588007662,0.000000,9.082284,9.082284,200
1775038842720296001,1775038842720296001,1775038842729663786,0.000000,9.367785,9.367785,200
1775038842849319262,1775038842849319262,1775038842856359505,0.000000,7.040243,7.040243,200
1775038842987018813,1775038842987018813,1775038843010130893,0.000000,23.112080,23.112080,200
1775038843137141474,1775038843137141474,1775038843143725970,0.000000,6.584496,6.584496,200
1775038843263028034,1775038843263028034,1775038843270000211,0.000000,6.972177,6.972177,200
1775038843385208417,1775038843385208417,1775038843391854476,0.000000,6.646059,6.646059,200
1775038843520300875,1775038843520300875,1775038843526826965,0.000000,6.526090,6.526090,200
1775038843642510617,1775038843642510617,1775038843650040492,0.000000,7.529875,7.529875,200
1775038843767035084,1775038843767035084,1775038843775752907,0.000000,8.717823,8.717823,200
1775038843892660454,1775038843892660454,1775038843899320072,0.000000,6.659618,6.659618,200
1775038844017661124,1775038844017661124,1775038844027193131,0.000000,9.532007,9.532007,200
1775038844144926041,1775038844144926041,1775038844151633835,0.000000,6.707794,6.707794,200
1775038844266806619,1775038844266806619,1775038844273497359,0.000000,6.690740,6.690740,200
1775038844398527814,1775038844398527814,1775038844405138845,0.000000,6.611031,6.611031,200
1775038844538683375,1775038844538683375,1775038844545360157,0.000000,6.676782,6.676782,200
1775038844662290252,1775038844662290252,1775038844669213940,0.000000,6.923688,6.923688,200
1775038844785403997,1775038844785403997,1775038844792418858,0.000000,7.014861,7.014861,200
1775038844910231414,1775038844910231414,1775038844917225345,0.000000,6.993931,6.993931,200
1775038845033283038,1775038845033283038,1775038845040258832,0.000000,6.975794,6.975794,200
1775038845160229091,1775038845160229091,1775038845167007864,0.000000,6.778773,6.778773,200
1775038845439310568,1775038845439310568,1775038845446919315,0.000000,7.608747,7.608747,200
1775038845725785038,1775038845725785038,1775038845738298630,0.000000,12.513592,12.513592,200
1775038845778930364,1775038845778930364,1775038845787846490,0.000000,8.916126,8.916126,200
1775038845839498536,1775038845839498536,1775038845847300173,0.000000,7.801637,7.801637,200
1775038845858481544,1775038845858481544,1775038845865686653,0.000000,7.205109,7.205109,200
1775038845962711730,1775038845962711730,1775038845972664449,0.000000,9.952719,9.952719,200
1775038846013260855,1775038846013260855,1775038846021106331,0.000000,7.845476,7.845476,200
1775038846031360874,1775038846031360874,1775038846043769369,0.000000,12.408495,12.408495,200
1775038846085173803,1775038846085173803,1775038846093599895,0.000000,8.426092,8.426092,200
1775038846137584477,1775038846137584477,1775038846147594229,0.000000,10.009752,10.009752,200
1775038846196124483,1775038846196124483,1775038846205477125,0.000000,9.352642,9.352642,200
1775038846221907624,1775038846221907624,1775038846237870962,0.000000,15.963338,15.963338,200
1775038846569755040,1775038846569755040,1775038846576759101,0.000000,7.004061,7.004061,200
1775038846729307054,1775038846729307054,1775038846735861374,0.000000,6.554320,6.554320,200
1775038846855661636,1775038846855661636,1775038846864522760,0.000000,8.861124,8.861124,200
1775038846956279824,1775038846956279824,1775038846964861053,0.000000,8.581229,8.581229,200
1775038846991632542,1775038846991632542,1775038847000757627,0.000000,9.125085,9.125085,200
1775038847130230485,1775038847130230485,1775038847140999120,0.000000,10.768635,10.768635,200
1775038847221458923,1775038847221458923,1775038847229103351,0.000000,7.644428,7.644428,200
1775038847339856128,1775038847339856128,1775038847350196234,0.000000,10.340106,10.340106,200
1775038847405301183,1775038847405301183,1775038847415421474,0.000000,10.120291,10.120291,200
1775038847453843855,1775038847453843855,1775038847462888144,0.000000,9.044289,9.044289,200
1775038847633184127,1775038847633184127,1775038847649047184,0.000000,15.863057,15.863057,200
1775038847665541296,1775038847665541296,1775038847674592239,0.000000,9.050943,9.050943,200
1775038847690810826,1775038847690810826,1775038847701277403,0.000000,10.466577,10.466577,200
1775038847716333999,1775038847716333999,1775038847724754363,0.000000,8.420364,8.420364,200
1775038847742969585,1775038847742969585,1775038847760966701,0.000000,17.997116,17.997116,200
1775038847958916632,1775038847958916632,1775038847985296722,0.000000,26.380090,26.380090,200
1775038848019594882,1775038848019594882,1775038848029345859,0.000000,9.750977,9.750977,200
1775038848089612653,1775038848089612653,1775038848099407884,0.000000,9.795231,9.795231,200
1775038848197982940,1775038848197982940,1775038848205319228,0.000000,7.336288,7.336288,200
1775038848243195684,1775038848243195684,1775038848255541824,0.000000,12.346140,12.346140,200
1775038848676113740,1775038848676113740,1775038848685149884,0.000000,9.036144,9.036144,200
1775038848862651873,1775038848862651873,1775038848870406580,0.000000,7.754707,7.754707,200
1775038848924699906,1775038848924699906,1775038848941487232,0.000000,16.787326,16.787326,200
1775038849110674186,1775038849110674186,1775038849133927934,0.000000,23.253748,23.253748,200
1775038849206730917,1775038849206730917,1775038849220358322,0.000000,13.627405,13.627405,200
1775038849355169593,1775038849355169593,1775038849362381605,0.000000,7.212012,7.212012,200
1775038849459881748,1775038849459881748,1775038849470387133,0.000000,10.505385,10.505385,200
1775038849508011669,1775038849508011669,1775038849517506248,0.000000,9.494579,9.494579,200
1775038849557148792,1775038849557148792,1775038849564136430,0.000000,6.987638,6.987638,200
1775038849576784097,1775038849576784097,1775038849583644574,0.000000,6.860477,6.860477,200
1775038849710948778,1775038849710948778,1775038849717706851,0.000000,6.758073,6.758073,200
1775038849865271515,1775038849865271515,1775038849871832627,0.000000,6.561112,6.561112,200
1775038849989095819,1775038849989095819,1775038849995626062,0.000000,6.530243,6.530243,200
1775038850205232270,1775038850205232270,1775038850213757462,0.000000,8.525192,8.525192,200
1775038850238312229,1775038850238312229,1775038850246947299,0.000000,8.635070,8.635070,200
1775038850263802196,1775038850263802196,1775038850271667722,0.000000,7.865526,7.865526,200
1775038850299784923,1775038850299784923,1775038850307116422,0.000000,7.331499,7.331499,200
1775038850343928831,1775038850343928831,1775038850351786448,0.000000,7.857617,7.857617,200
1775038850451751436,1775038850451751436,1775038850459011012,0.000000,7.259576,7.259576,200
1775038850499230392,1775038850499230392,1775038850507371169,0.000000,8.140777,8.140777,200
1775038850520589725,1775038850520589725,1775038850529204295,0.000000,8.614570,8.614570,200
1775038850668345737,1775038850668345737,1775038850677461620,0.000000,9.115883,9.115883,200
1775038850902157090,1775038850902157090,1775038850909012205,0.000000,6.855115,6.855115,200
1775038850963505594,1775038850963505594,1775038850970216373,0.000000,6.710779,6.710779,200
1775038850989518772,1775038850989518772,1775038850999441783,0.000000,9.923011,9.923011,200
1775038851086351846,1775038851086351846,1775038851093397248,0.000000,7.045402,7.045402,200
1775038851165728372,1775038851165728372,1775038851185365957,0.000000,19.637585,19.637585,200
1775038851254608493,1775038851254608493,1775038851262229447,0.000000,7.620954,7.620954,200
1775038851338276409,1775038851338276409,1775038851344693276,0.000000,6.416867,6.416867,200
1775038851455757585,1775038851455757585,1775038851464389679,0.000000,8.632094,8.632094,200
1775038851735890727,1775038851735890727,1775038851742425225,0.000000,6.534498,6.534498,200
1775038851781123295,1775038851781123295,1775038851789721719,0.000000,8.598424,8.598424,200
1775038851801660120,1775038851801660120,1775038851808214825,0.000000,6.554705,6.554705,200
1775038851827844440,1775038851827844440,1775038851837074566,0.000000,9.230126,9.230126,200
1775038852109941748,1775038852109941748,1775038852116147765,0.000000,6.206017,6.206017,200
1775038852164775014,1775038852164775014,1775038852174370930,0.000000,9.595916,9.595916,200
1775038852183236226,1775038852183236226,1775038852190391341,0.000000,7.155115,7.155115,200
1775038852203802723,1775038852203802723,1775038852211022487,0.000000,7.219764,7.219764,200
1775038852284254442,1775038852284254442,1775038852293478776,0.000000,9.224334,9.224334,200
1775038852444269666,1775038852444269666,1775038852450763344,0.000000,6.493678,6.493678,200
1775038852488520309,1775038852488520309,1775038852500819640,0.000000,12.299331,12.299331,200
1775038852644534288,1775038852644534288,1775038852651145477,0.000000,6.611189,6.611189,200
1775038852696016435,1775038852696016435,1775038852706008438,0.000000,9.992003,9.992003,200
1775038852794499499,1775038852794499499,1775038852802889801,0.000000,8.390302,8.390302,200
1775038852885974229,1775038852885974229,1775038852892955170,0.000000,6.980941,6.980941,200
1775038853077857777,1775038853077857777,1775038853087377974,0.000000,9.520197,9.520197,200
1775038853116210072,1775038853116210072,1775038853124686445,0.000000,8.476373,8.476373,200
1775038853140669040,1775038853140669040,1775038853148325012,0.000000,7.655972,7.655972,200
1775038853169457980,1775038853169457980,1775038853176300768,0.000000,6.842788,6.842788,200
1775038853287008266,1775038853287008266,1775038853294365523,0.000000,7.357257,7.357257,200
1775038853336590072,1775038853336590072,1775038853343070252,0.000000,6.480180,6.480180,200
1775038853427576150,1775038853427576150,1775038853437677451,0.000000,10.101301,10.101301,200
1775038853528826247,1775038853528826247,1775038853535191129,0.000000,6.364882,6.364882,200
1775038853557602275,1775038853557602275,1775038853563939121,0.000000,6.336846,6.336846,200
1775038853614437386,1775038853614437386,1775038853621751894,0.000000,7.314508,7.314508,200
1775038853633895287,1775038853633895287,1775038853640855693,0.000000,6.960406,6.960406,200
1775038853710965445,1775038853710965445,1775038853717061545,0.000000,6.096100,6.096100,200
1775038854175047534,1775038854175047534,1775038854181565119,0.000000,6.517585,6.517585,200
1775038854344672264,1775038854344672264,1775038854353637095,0.000000,8.964831,8.964831,200
