arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775040006514664962,1775040006514664962,1775040006527614962,0.000000,12.950000,12.950000,200
1775040006576791236,1775040006576791236,1775040006586195236,0.000000,9.404000,9.404000,200
1775040006626847595,1775040006626847595,1775040006634979595,0.000000,8.132000,8.132000,200
1775040006665380736,1775040006665380736,1775040006675010736,0.000000,9.630000,9.630000,200
1775040006702571578,1775040006702571578,1775040006712789578,0.000000,10.218000,10.218000,200
1775040006742587730,1775040006742587730,1775040006752615730,0.000000,10.028000,10.028000,200
1775040006781280629,1775040006781280629,1775040006790198629,0.000000,8.918000,8.918000,200
1775040006819074778,1775040006819074778,1775040006829126778,0.000000,10.052000,10.052000,200
1775040006856544823,1775040006856544823,1775040006866017823,0.000000,9.473000,9.473000,200
1775040006894974226,1775040006894974226,1775040006904837226,0.000000,9.863000,9.863000,200
1775040006933050218,1775040006933050218,1775040006943652218,0.000000,10.602000,10.602000,200
1775040006969982144,1775040006969982144,1775040006979816144,0.000000,9.834000,9.834000,200
1775040007008803893,1775040007008803893,1775040007020107893,0.000000,11.304000,11.304000,200
1775040007060398791,1775040007060398791,1775040007072961791,0.000000,12.563000,12.563000,200
1775040007098800079,1775040007098800079,1775040007110104079,0.000000,11.304000,11.304000,200
1775040007139989542,1775040007139989542,1775040007150585542,0.000000,10.596000,10.596000,200
1775040007180418275,1775040007180418275,1775040007194897275,0.000000,14.479000,14.479000,200
1775040007218484373,1775040007218484373,1775040007230528373,0.000000,12.044000,12.044000,200
1775040007275683656,1775040007275683656,1775040007285164656,0.000000,9.481000,9.481000,200
1775040007315069731,1775040007315069731,1775040007322565731,0.000000,7.496000,7.496000,200
1775040007354518406,1775040007354518406,1775040007364504406,0.000000,9.986000,9.986000,200
1775040007394408348,1775040007394408348,1775040007403414348,0.000000,9.006000,9.006000,200
1775040007433580890,1775040007433580890,1775040007444516890,0.000000,10.936000,10.936000,200
1775040007472001555,1775040007472001555,1775040007480430555,0.000000,8.429000,8.429000,200
1775040007510284447,1775040007510284447,1775040007520780447,0.000000,10.496000,10.496000,200
1775040007559113016,1775040007559113016,1775040007568083016,0.000000,8.970000,8.970000,200
1775040007597580983,1775040007597580983,1775040007608720983,0.000000,11.140000,11.140000,200
1775040007636557388,1775040007636557388,1775040007645913388,0.000000,9.356000,9.356000,200
1775040007674309441,1775040007674309441,1775040007685578441,0.000000,11.269000,11.269000,200
1775040007714257657,1775040007714257657,1775040007722568657,0.000000,8.311000,8.311000,200
1775040007753270494,1775040007753270494,1775040007760845494,0.000000,7.575000,7.575000,200
1775040007788902799,1775040007788902799,1775040007798773799,0.000000,9.871000,9.871000,200
1775040007826858745,1775040007826858745,1775040007836205745,0.000000,9.347000,9.347000,200
1775040007864242879,1775040007864242879,1775040007881826879,0.000000,17.584000,17.584000,200
1775040007902665768,1775040007902665768,1775040007911407768,0.000000,8.742000,8.742000,200
1775040007941552519,1775040007941552519,1775040007955557519,0.000000,14.005000,14.005000,200
1775040007978122580,1775040007978122580,1775040007988470580,0.000000,10.348000,10.348000,200
1775040008015790435,1775040008015790435,1775040008028980435,0.000000,13.190000,13.190000,200
1775040008055554618,1775040008055554618,1775040008064713618,0.000000,9.159000,9.159000,200
1775040008094771428,1775040008094771428,1775040008104920428,0.000000,10.149000,10.149000,200
1775040008132853272,1775040008132853272,1775040008143543272,0.000000,10.690000,10.690000,200
1775040008190815599,1775040008190815599,1775040008200352599,0.000000,9.537000,9.537000,200
1775040008228850100,1775040008228850100,1775040008239051100,0.000000,10.201000,10.201000,200
1775040008267640714,1775040008267640714,1775040008277454714,0.000000,9.814000,9.814000,200
1775040008305594665,1775040008305594665,1775040008318984665,0.000000,13.390000,13.390000,200
1775040008342751445,1775040008342751445,1775040008353461445,0.000000,10.710000,10.710000,200
1775040008381334801,1775040008381334801,1775040008393322801,0.000000,11.988000,11.988000,200
1775040008418530079,1775040008418530079,1775040008429271079,0.000000,10.741000,10.741000,200
1775040008457296758,1775040008457296758,1775040008469327758,0.000000,12.031000,12.031000,200
1775040008496922546,1775040008496922546,1775040008506088546,0.000000,9.166000,9.166000,200
1775040008560342375,1775040008560342375,1775040008571228375,0.000000,10.886000,10.886000,200
1775040008604444179,1775040008604444179,1775040008613719179,0.000000,9.275000,9.275000,200
1775040008649270610,1775040008649270610,1775040008656644610,0.000000,7.374000,7.374000,200
1775040008689242973,1775040008689242973,1775040008698795973,0.000000,9.553000,9.553000,200
1775040008725723136,1775040008725723136,1775040008736963136,0.000000,11.240000,11.240000,200
1775040008764276503,1775040008764276503,1775040008771573503,0.000000,7.297000,7.297000,200
1775040008802513115,1775040008802513115,1775040008810877115,0.000000,8.364000,8.364000,200
1775040008840181602,1775040008840181602,1775040008850893602,0.000000,10.712000,10.712000,200
1775040008877363079,1775040008877363079,1775040008887091079,0.000000,9.728000,9.728000,200
1775040008914411519,1775040008914411519,1775040008924528519,0.000000,10.117000,10.117000,200
1775040008952911919,1775040008952911919,1775040008964834919,0.000000,11.923000,11.923000,200
1775040008990906320,1775040008990906320,1775040008999126320,0.000000,8.220000,8.220000,200
1775040009029726305,1775040009029726305,1775040009041547305,0.000000,11.821000,11.821000,200
1775040009068464213,1775040009068464213,1775040009078853213,0.000000,10.389000,10.389000,200
1775040009108130837,1775040009108130837,1775040009118642837,0.000000,10.512000,10.512000,200
1775040009147957924,1775040009147957924,1775040009158652924,0.000000,10.695000,10.695000,200
1775040009199176908,1775040009199176908,1775040009208724908,0.000000,9.548000,9.548000,200
1775040009239026970,1775040009239026970,1775040009246704970,0.000000,7.678000,7.678000,200
1775040009292801789,1775040009292801789,1775040009303561789,0.000000,10.760000,10.760000,200
1775040009331716241,1775040009331716241,1775040009343180241,0.000000,11.464000,11.464000,200
1775040009375610776,1775040009375610776,1775040009385882776,0.000000,10.272000,10.272000,200
1775040009420349361,1775040009420349361,1775040009429492361,0.000000,9.143000,9.143000,200
1775040009464706657,1775040009464706657,1775040009474275657,0.000000,9.569000,9.569000,200
1775040009505712689,1775040009505712689,1775040009519056689,0.000000,13.344000,13.344000,200
1775040009546040577,1775040009546040577,1775040009557800577,0.000000,11.760000,11.760000,200
1775040009602411563,1775040009602411563,1775040009610065563,0.000000,7.654000,7.654000,200
1775040009663759052,1775040009663759052,1775040009675216052,0.000000,11.457000,11.457000,200
1775040009703017681,1775040009703017681,1775040009714566681,0.000000,11.549000,11.549000,200
1775040009742416685,1775040009742416685,1775040009753548685,0.000000,11.132000,11.132000,200
1775040009781517356,1775040009781517356,1775040009791420356,0.000000,9.903000,9.903000,200
1775040009820508969,1775040009820508969,1775040009831835969,0.000000,11.327000,11.327000,200
