arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775046547448113418,1775046547448113418,1775046547454945418,0.000000,6.832000,6.832000,200
1775046547474460654,1775046547474460654,1775046547478448654,0.000000,3.988000,3.988000,200
1775046547497512669,1775046547497512669,1775046547500976669,0.000000,3.464000,3.464000,200
1775046547519967286,1775046547519967286,1775046547525244286,0.000000,5.277000,5.277000,200
1775046547564993122,1775046547564993122,1775046547568308122,0.000000,3.315000,3.315000,200
1775046547586588734,1775046547586588734,1775046547590152734,0.000000,3.564000,3.564000,200
1775046547608807335,1775046547608807335,1775046547612342335,0.000000,3.535000,3.535000,200
1775046547631172973,1775046547631172973,1775046547634931973,0.000000,3.759000,3.759000,200
1775046547653600425,1775046547653600425,1775046547657071425,0.000000,3.471000,3.471000,200
1775046547676104784,1775046547676104784,1775046547679726784,0.000000,3.622000,3.622000,200
1775046547697856029,1775046547697856029,1775046547701409029,0.000000,3.553000,3.553000,200
1775046547736447610,1775046547736447610,1775046547740104610,0.000000,3.657000,3.657000,200
1775046547760840627,1775046547760840627,1775046547763894627,0.000000,3.054000,3.054000,200
1775046547781818711,1775046547781818711,1775046547785631711,0.000000,3.813000,3.813000,200
1775046547814685455,1775046547814685455,1775046547818922455,0.000000,4.237000,4.237000,200
1775046547839143576,1775046547839143576,1775046547843390576,0.000000,4.247000,4.247000,200
1775046547862821554,1775046547862821554,1775046547867106554,0.000000,4.285000,4.285000,200
1775046547886342326,1775046547886342326,1775046547889897326,0.000000,3.555000,3.555000,200
1775046547908851067,1775046547908851067,1775046547913075067,0.000000,4.224000,4.224000,200
1775046547931948955,1775046547931948955,1775046547935839955,0.000000,3.891000,3.891000,200
1775046547969663981,1775046547969663981,1775046547973506981,0.000000,3.843000,3.843000,200
1775046547992390754,1775046547992390754,1775046547996480754,0.000000,4.090000,4.090000,200
1775046548015777480,1775046548015777480,1775046548019923480,0.000000,4.146000,4.146000,200
1775046548038639199,1775046548038639199,1775046548042142199,0.000000,3.503000,3.503000,200
1775046548061183756,1775046548061183756,1775046548064668756,0.000000,3.485000,3.485000,200
1775046548083295596,1775046548083295596,1775046548086736596,0.000000,3.441000,3.441000,200
1775046548105212241,1775046548105212241,1775046548108990241,0.000000,3.778000,3.778000,200
1775046548127480290,1775046548127480290,1775046548131199290,0.000000,3.719000,3.719000,200
1775046548157571154,1775046548157571154,1775046548161364154,0.000000,3.793000,3.793000,200
1775046548180023503,1775046548180023503,1775046548183474503,0.000000,3.451000,3.451000,200
1775046548201699423,1775046548201699423,1775046548206074423,0.000000,4.375000,4.375000,200
1775046548225146517,1775046548225146517,1775046548229116517,0.000000,3.970000,3.970000,200
1775046548247788166,1775046548247788166,1775046548251403166,0.000000,3.615000,3.615000,200
1775046548269807444,1775046548269807444,1775046548273023444,0.000000,3.216000,3.216000,200
1775046548291432564,1775046548291432564,1775046548295452564,0.000000,4.020000,4.020000,200
