arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774346071604195670,1774346071604195670,1774346071605408670,0.000000,1.213000,1.213000,200
1774346071606446829,1774346071606446829,1774346071609038829,0.000000,2.592000,2.592000,200
1774346071610341083,1774346071610341083,1774346071611546083,0.000000,1.205000,1.205000,200
1774346071612420127,1774346071612420127,1774346071614744127,0.000000,2.324000,2.324000,200
1774346071615924554,1774346071615924554,1774346071616663554,0.000000,0.739000,0.739000,200
1774346071619060967,1774346071619060967,1774346071622240967,0.000000,3.180000,3.180000,200
1774346071626108349,1774346071626108349,1774346071626513349,0.000000,0.405000,0.405000,200
1774346071628278126,1774346071628278126,1774346071629204126,0.000000,0.926000,0.926000,200
1774346071633083168,1774346071633083168,1774346071635284168,0.000000,2.201000,2.201000,200
1774346071634777589,1774346071635284168,1774346071636029168,0.506579,0.745000,1.251579,200
1774346071636131469,1774346071636131469,1774346071637046469,0.000000,0.915000,0.915000,200
1774346071643180821,1774346071643180821,1774346071644548821,0.000000,1.368000,1.368000,200
1774346071646679226,1774346071646679226,1774346071647495226,0.000000,0.816000,0.816000,200
1774346071648675155,1774346071648675155,1774346071649743155,0.000000,1.068000,1.068000,200
1774346071653230394,1774346071653230394,1774346071655200394,0.000000,1.970000,1.970000,200
1774346071659261210,1774346071659261210,1774346071660430210,0.000000,1.169000,1.169000,200
1774346071663810568,1774346071663810568,1774346071665278568,0.000000,1.468000,1.468000,200
1774346071668105216,1774346071668105216,1774346071669185216,0.000000,1.080000,1.080000,200
1774346071672225472,1774346071672225472,1774346071672868472,0.000000,0.643000,0.643000,200
1774346071674718028,1774346071674718028,1774346071678466028,0.000000,3.748000,3.748000,200
1774346071681655796,1774346071681655796,1774346071683995796,0.000000,2.340000,2.340000,200
1774346071689591433,1774346071689591433,1774346071690398433,0.000000,0.807000,0.807000,200
1774346071692985934,1774346071692985934,1774346071694169934,0.000000,1.184000,1.184000,200
1774346071694444367,1774346071694444367,1774346071695317367,0.000000,0.873000,0.873000,200
1774346071702546735,1774346071702546735,1774346071703521735,0.000000,0.975000,0.975000,200
1774346071708830809,1774346071708830809,1774346071709985809,0.000000,1.155000,1.155000,200
1774346071719033730,1774346071719033730,1774346071720553730,0.000000,1.520000,1.520000,200
1774346071721665629,1774346071721665629,1774346071722287629,0.000000,0.622000,0.622000,200
1774346071724641926,1774346071724641926,1774346071725321926,0.000000,0.680000,0.680000,200
1774346071732408598,1774346071732408598,1774346071733866598,0.000000,1.458000,1.458000,200
1774346071738561148,1774346071738561148,1774346071739370148,0.000000,0.809000,0.809000,200
1774346071742805452,1774346071742805452,1774346071743834452,0.000000,1.029000,1.029000,200
1774346071745026656,1774346071745026656,1774346071748165656,0.000000,3.139000,3.139000,200
1774346071750106643,1774346071750106643,1774346071752033643,0.000000,1.927000,1.927000,200
1774346071753841537,1774346071753841537,1774346071754169537,0.000000,0.328000,0.328000,200
1774346071760233169,1774346071760233169,1774346071760722169,0.000000,0.489000,0.489000,200
1774346071763447578,1774346071763447578,1774346071764616578,0.000000,1.169000,1.169000,200
1774346071784459216,1774346071784459216,1774346071785338216,0.000000,0.879000,0.879000,200
1774346071786528666,1774346071786528666,1774346071790527666,0.000000,3.999000,3.999000,200
1774346071789006356,1774346071790527666,1774346071791513666,1.521310,0.986000,2.507310,200
1774346071793898955,1774346071793898955,1774346071798355955,0.000000,4.457000,4.457000,200
1774346071800573912,1774346071800573912,1774346071802243912,0.000000,1.670000,1.670000,200
1774346071804119130,1774346071804119130,1774346071806025130,0.000000,1.906000,1.906000,200
