arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775046344642000000,0.147052,0.020531,0.167583,200
1775046344658000000,0.194375,0.011844,0.206219,200
1775046344674000000,0.146530,0.008978,0.155508,200
1775046344692000000,0.235477,0.011333,0.246810,200
1775046344712000000,0.250847,0.013957,0.264804,200
1775046344731000000,0.149526,0.022324,0.171850,200
1775046344761000000,0.258302,0.011413,0.269715,200
1775046344780000000,0.178814,0.011503,0.190317,200
1775046344797000000,0.148064,0.021232,0.169296,200
1775046344816000000,0.131952,0.008928,0.140880,200
1775046344836000000,0.130469,0.008306,0.138775,200
1775046344852000000,0.129537,0.022705,0.152242,200
1775046344869000000,0.190868,0.009890,0.200758,200
1775046344901000000,0.144066,0.009599,0.153665,200
1775046344932000000,0.176740,0.028607,0.205347,200
1775046344949000000,0.180558,0.010341,0.190899,200
1775046344969000000,0.193885,0.020761,0.214646,200
1775046344988000000,0.176510,0.029579,0.206089,200
1775046345013000000,0.128334,0.009108,0.137442,200
1775046345033000000,0.180558,0.010942,0.191500,200
1775046345072000000,0.194836,0.026773,0.221609,200
1775046345089000000,0.185387,0.011743,0.197130,200
1775046345110000000,0.202050,0.010872,0.212922,200
1775046345149000000,0.130208,0.030009,0.160217,200
1775046345167000000,0.195327,0.012816,0.208143,200
1775046345188000000,0.181189,0.021222,0.202411,200
1775046345204000000,0.204815,0.028928,0.233743,200
1775046345243000000,0.186008,0.012074,0.198082,200
1775046345259000000,0.146340,0.012836,0.159176,200
1775046345290000000,0.191139,0.022304,0.213443,200
1775046345321000000,0.240125,0.008868,0.248993,200
1775046345335000000,0.143294,0.013316,0.156610,200
1775046345361000000,0.221268,0.023046,0.244314,200
1775046345379000000,0.129967,0.009379,0.139346,200
1775046345415000000,0.215277,0.042935,0.258212,200
1775046345433000000,0.138444,0.024158,0.162602,200
1775046345453000000,0.198514,0.013206,0.211720,200
1775046345471000000,0.136781,0.012575,0.149356,200
1775046345495000000,0.181049,0.023537,0.204586,200
1775046345523000000,0.132533,0.008877,0.141410,200
1775046345538000000,0.149957,0.013166,0.163123,200
1775046345558000000,0.210678,0.028346,0.239024,200
1775046345601000000,0.178053,0.010661,0.188714,200
1775046345619000000,0.203603,0.014118,0.217721,200
1775046345639000000,0.200457,0.025741,0.226198,200
1775046345678000000,0.132052,0.008887,0.140939,200
1775046345693000000,0.214455,0.013718,0.228173,200
1775046345724000000,0.139697,0.030270,0.169967,200
1775046345760000000,0.198433,0.009269,0.207702,200
1775046345782000000,0.182091,0.012164,0.194255,200
1775046345800000000,0.130058,0.022605,0.152663,200
1775046345816000000,0.130779,0.008988,0.139767,200
1775046345833000000,0.163674,0.009088,0.172762,200
1775046345866000000,0.180277,0.028867,0.209144,200
1775046345883000000,0.196690,0.012114,0.208804,200
1775046345924000000,0.190728,0.022785,0.213513,200
1775046345949000000,0.217591,0.032675,0.250266,200
1775046345975000000,0.182121,0.010832,0.192953,200
1775046345997000000,0.182051,0.010741,0.192792,200
1775046346037000000,0.181549,0.097454,0.279003,200
1775046346053000000,0.160709,0.009479,0.170188,200
1775046346073000000,0.144726,0.009048,0.153774,200
1775046346093000000,0.261619,0.018527,0.280146,200
1775046346110000000,0.178755,0.010991,0.189746,200
1775046346144000000,0.224355,0.011553,0.235908,200
1775046346168000000,0.160828,0.013016,0.173844,200
1775046346184000000,0.143495,0.008827,0.152322,200
1775046346205000000,0.199265,0.052313,0.251578,200
1775046346224000000,0.243944,0.009138,0.253082,200
1775046346260000000,0.196630,0.034088,0.230718,200
1775046346279000000,0.190528,0.025060,0.215588,200
1775046346299000000,0.135077,0.013768,0.148845,200
1775046346319000000,0.158113,0.024198,0.182311,200
1775046346354000000,0.229064,0.014379,0.243443,200
1775046346370000000,0.203072,0.012104,0.215176,200
1775046346390000000,0.193964,0.025811,0.219775,200
1775046346410000000,0.195758,0.027895,0.223653,200
1775046346430000000,0.201589,0.012816,0.214405,200
1775046346451000000,0.188794,0.031372,0.220166,200
1775046346470000000,0.130699,0.009249,0.139948,200
1775046346490000000,0.146451,0.008567,0.155018,200
1775046346507000000,0.135419,0.023737,0.159156,200
1775046346541000000,0.288070,0.012866,0.300936,200
1775046346560000000,0.137202,0.012705,0.149907,200
1775046346584000000,0.205597,0.062764,0.268361,200
1775046346618000000,0.130800,0.024999,0.155799,200
1775046346634000000,0.189776,0.011422,0.201198,200
1775046346656000000,0.202140,0.030851,0.232991,200
1775046346682000000,0.216489,0.010971,0.227460,200
1775046346706000000,0.190307,0.009318,0.199625,200
1775046346743000000,0.138384,0.025441,0.163825,200
1775046346759000000,0.139516,0.020020,0.159536,200
1775046346777000000,0.202852,0.012855,0.215707,200
1775046346797000000,0.140078,0.018657,0.158735,200
1775046346821000000,0.143124,0.009028,0.152152,200
1775046346836000000,0.240166,0.011092,0.251258,200
1775046346868000000,0.154416,0.026101,0.180517,200
1775046346886000000,0.148414,0.010361,0.158775,200
1775046346904000000,0.144196,0.012374,0.156570,200
1775046346928000000,0.202281,0.034779,0.237060,200
1775046346952000000,0.230748,0.024248,0.254996,200
1775046346975000000,0.235006,0.013837,0.248843,200
1775046347001000000,0.221950,0.028437,0.250387,200
1775046347039000000,0.184496,0.012545,0.197041,200
1775046347070000000,0.196318,0.010141,0.206459,200
1775046347101000000,0.138695,0.025500,0.164195,200
1775046347129000000,0.135729,0.023276,0.159005,200
1775046347167000000,0.133214,0.008587,0.141801,200
1775046347183000000,0.160248,0.032374,0.192622,200
1775046347212000000,0.131721,0.009078,0.140799,200
1775046347243000000,0.135859,0.008827,0.144686,200
1775046347274000000,0.151510,0.026653,0.178163,200
1775046347305000000,0.231519,0.012254,0.243773,200
1775046347322000000,0.149997,0.012144,0.162141,200
1775046347351000000,0.136691,0.027143,0.163834,200
1775046347368000000,0.176640,0.029068,0.205708,200
1775046347391000000,0.187170,0.011613,0.198783,200
1775046347430000000,0.178804,0.027024,0.205828,200
1775046347448000000,0.154487,0.009308,0.163795,200
1775046347474000000,0.205517,0.014909,0.220426,200
1775046347500000000,0.246608,0.032555,0.279163,200
1775046347525000000,0.195717,0.026413,0.222130,200
1775046347567000000,0.166851,0.014068,0.180919,200
1775046347585000000,0.195657,0.111140,0.306797,200
1775046347607000000,0.146611,0.013476,0.160087,200
1775046347645000000,0.136040,0.012675,0.148715,200
1775046347675000000,0.135859,0.020762,0.156621,200
1775046347691000000,0.187341,0.013507,0.200848,200
1775046347714000000,0.195347,0.010460,0.205807,200
1775046347734000000,0.199395,0.031443,0.230838,200
1775046347755000000,0.191128,0.034980,0.226108,200
1775046347774000000,0.141370,0.011723,0.153093,200
1775046347795000000,0.186079,0.029799,0.215878,200
1775046347833000000,0.238462,0.012846,0.251308,200
1775046347851000000,0.188203,0.013376,0.201579,200
1775046347872000000,0.198093,0.026382,0.224475,200
1775046347894000000,0.211259,0.029548,0.240807,200
1775046347926000000,0.134306,0.009149,0.143455,200
1775046347940000000,0.227912,0.027324,0.255236,200
1775046347973000000,0.153845,0.008637,0.162482,200
1775046347987000000,0.157723,0.010871,0.168594,200
1775046348018000000,0.230807,0.010350,0.241157,200
1775046348049000000,0.132733,0.026503,0.159236,200
1775046348064000000,0.146360,0.010410,0.156770,200
1775046348084000000,0.142302,0.017635,0.159937,200
1775046348160000000,0.210537,0.010872,0.221409,200
1775046348207000000,0.147161,0.009319,0.156480,200
1775046348242000000,0.200067,0.013356,0.213423,200
1775046348270000000,0.128825,0.009529,0.138354,200
1775046348286000000,0.131911,0.008677,0.140588,200
1775046348304000000,0.155328,0.008607,0.163935,200
1775046348325000000,0.131100,0.022765,0.153865,200
1775046348362000000,0.184065,0.011673,0.195738,200
1775046348381000000,0.189505,0.010130,0.199635,200
1775046348406000000,0.213934,0.009769,0.223703,200
1775046348430000000,0.177271,0.010200,0.187471,200
1775046348456000000,0.202521,0.012204,0.214725,200
1775046348478000000,0.190007,0.013516,0.203523,200
1775046348504000000,0.209686,0.012104,0.221790,200
1775046348548000000,0.313651,0.010030,0.323681,200
1775046348567000000,0.177853,0.026422,0.204275,200
1775046348587000000,0.136941,0.012024,0.148965,200
1775046348609000000,0.213443,0.012405,0.225848,200
1775046348644000000,0.194315,0.010310,0.204625,200
1775046348683000000,0.185708,0.010781,0.196489,200
1775046348722000000,0.218884,0.012735,0.231619,200
1775046348752000000,0.238102,0.012184,0.250286,200
1775046348803000000,0.212942,0.017023,0.229965,200
1775046348856000000,0.277961,0.014238,0.292199,200
1775046348878000000,0.179656,0.027825,0.207481,200
1775046348904000000,0.182863,0.011142,0.194005,200
1775046348927000000,0.185869,0.010581,0.196450,200
1775046348949000000,0.208112,0.010641,0.218753,200
1775046348979000000,0.148184,0.009118,0.157302,200
1775046348996000000,0.184315,0.011012,0.195327,200
1775046349018000000,0.176049,0.010461,0.186510,200
1775046349042000000,0.166380,0.011132,0.177512,200
1775046349069000000,0.222310,0.011223,0.233533,200
1775046349104000000,0.270596,0.022114,0.292710,200
1775046349134000000,0.194836,0.012295,0.207131,200
1775046349159000000,0.217641,0.012044,0.229685,200
1775046349196000000,0.299133,0.011733,0.310866,200
1775046349215000000,0.140909,0.008347,0.149256,200
1775046349257000000,0.130098,0.008367,0.138465,200
1775046349273000000,0.154466,0.011373,0.165839,200
1775046349303000000,0.143404,0.012615,0.156019,200
1775046349319000000,0.147743,0.008627,0.156370,200
1775046349337000000,0.128575,0.016713,0.145288,200
1775046349355000000,0.142021,0.009088,0.151109,200
1775046349379000000,0.182091,0.010250,0.192341,200
1775046349402000000,0.185518,0.012545,0.198063,200
1775046349426000000,0.190908,0.011172,0.202080,200
1775046349448000000,0.148845,0.013317,0.162162,200
1775046349472000000,0.195477,0.010671,0.206148,200
1775046349495000000,0.181380,0.010731,0.192111,200
1775046349520000000,0.205017,0.012244,0.217261,200
1775046349541000000,0.194505,0.020701,0.215206,200
1775046349560000000,0.180798,0.010531,0.191329,200
1775046349582000000,0.178183,0.010761,0.188944,200
1775046349612000000,0.137543,0.009038,0.146581,200
1775046349640000000,0.211760,0.011012,0.222772,200
1775046349646000000,0.172392,0.009729,0.182121,200
1775046349644000000,0.197141,0.013687,0.210828,200
1775046349687000000,0.206449,0.011723,0.218172,200
1775046349746000000,0.187021,0.015310,0.202331,200
1775046349650000000,0.178073,0.013076,0.191149,200
1775046349776000000,0.296177,0.013506,0.309683,200
1775046349719000000,0.206198,0.012044,0.218242,200
1775046349868000000,0.187421,0.012645,0.200066,200
1775046349828000000,0.195718,0.014057,0.209775,200
1775046349805000000,0.221259,0.013977,0.235236,200
1775046349926000000,0.222100,0.013297,0.235397,200
1775046349895000000,0.228332,0.031373,0.259705,200
1775046349977000000,0.164566,0.010090,0.174656,200
1775046349954000000,0.193583,0.013256,0.206839,200
1775046350030000000,0.220417,0.015411,0.235828,200
1775046350004000000,0.185348,0.031462,0.216810,200
1775046350105000000,0.261939,0.011974,0.273913,200
1775046350082000000,0.191229,0.014269,0.205498,200
1775046350054000000,0.196459,0.012976,0.209435,200
1775046350161000000,0.196459,0.011463,0.207922,200
1775046350132000000,0.190657,0.022124,0.212781,200
1775046350215000000,0.192401,0.012665,0.205066,200
1775046350188000000,0.203804,0.011843,0.215647,200
1775046350274000000,0.199195,0.013296,0.212491,200
1775046350241000000,0.222621,0.012064,0.234685,200
1775046350330000000,0.194675,0.010381,0.205056,200
1775046350299000000,0.204595,0.013888,0.218483,200
1775046350436000000,0.218112,0.011333,0.229445,200
1775046350389000000,0.199325,0.016623,0.215948,200
1775046350359000000,0.205247,0.022695,0.227942,200
1775046350522000000,0.177792,0.010942,0.188734,200
1775046350479000000,0.207190,0.011163,0.218353,200
1775046350603000000,0.207240,0.012054,0.219294,200
1775046350575000000,0.191590,0.012244,0.203834,200
1775046350549000000,0.188764,0.012385,0.201149,200
1775046350697000000,0.181209,0.018617,0.199826,200
1775046350667000000,0.193493,0.012315,0.205808,200
1775046350635000000,0.186880,0.012174,0.199054,200
1775046350757000000,0.223753,0.011513,0.235266,200
1775046350726000000,0.190137,0.010300,0.200437,200
1775046350806000000,0.186409,0.012174,0.198583,200
1775046350782000000,0.193453,0.011733,0.205186,200
1775046350865000000,0.217170,0.014128,0.231298,200
1775046350834000000,0.205959,0.022294,0.228253,200
1775046350940000000,0.243553,0.011042,0.254595,200
1775046350909000000,0.188985,0.012535,0.201520,200
1775046350992000000,0.322950,0.013977,0.336927,200
1775046350968000000,0.187672,0.011273,0.198945,200
1775046351042000000,0.204616,0.014218,0.218834,200
1775046351094000000,0.215958,0.011853,0.227811,200
1775046351016000000,0.189686,0.012504,0.202190,200
1775046351120000000,0.203292,0.012716,0.216008,200
1775046351068000000,0.187502,0.021262,0.208764,200
1775046351167000000,0.186389,0.011383,0.197772,200
1775046351141000000,0.216208,0.013206,0.229414,200
1775046351216000000,0.195237,0.014619,0.209856,200
1775046351189000000,0.142232,0.012805,0.155037,200
1775046351266000000,0.198403,0.015501,0.213904,200
1775046351239000000,0.241218,0.011663,0.252881,200
1775046351314000000,0.140829,0.011703,0.152532,200
1775046351290000000,0.184846,0.023647,0.208493,200
1775046351368000000,0.199505,0.011974,0.211479,200
1775046351342000000,0.205828,0.013517,0.219345,200
1775046351424000000,0.187632,0.011743,0.199375,200
1775046351396000000,0.205657,0.013346,0.219003,200
1775046351484000000,0.216679,0.011994,0.228673,200
1775046351448000000,0.218713,0.016904,0.235617,200
1775046351549000000,0.221699,0.014960,0.236659,200
1775046351519000000,0.193714,0.029157,0.222871,200
1775046351605000000,0.273622,0.011713,0.285335,200
1775046351579000000,0.190177,0.012585,0.202762,200
1775046351664000000,0.190196,0.011483,0.201679,200
1775046351637000000,0.188754,0.010470,0.199224,200
1775046351722000000,0.189916,0.013517,0.203433,200
1775046351696000000,0.196289,0.012405,0.208694,200
1775046351778000000,0.218413,0.014358,0.232771,200
1775046351751000000,0.227862,0.024298,0.252160,200
1775046351852000000,0.182732,0.013587,0.196319,200
1775046351908000000,0.231398,0.016012,0.247410,200
1775046351813000000,0.198353,0.012094,0.210447,200
1775046351938000000,0.206228,0.013737,0.219965,200
1775046351879000000,0.238131,0.014840,0.252971,200
1775046351991000000,0.205086,0.014439,0.219525,200
1775046351965000000,0.340765,0.011673,0.352438,200
1775046352042000000,0.185197,0.011723,0.196920,200
1775046352015000000,0.253622,0.014068,0.267690,200
1775046352101000000,0.243523,0.032835,0.276358,200
1775046352168000000,0.202060,0.012916,0.214976,200
1775046352072000000,0.192342,0.012274,0.204616,200
1775046352200000000,0.197661,0.035521,0.233182,200
1775046352136000000,0.199134,0.026753,0.225887,200
1775046352256000000,0.192832,0.013237,0.206069,200
1775046352228000000,0.245647,0.011062,0.256709,200
1775046352333000000,0.256468,0.012996,0.269464,200
1775046352392000000,0.186249,0.011884,0.198133,200
1775046352302000000,0.201319,0.012775,0.214094,200
1775046352419000000,0.196149,0.034258,0.230407,200
1775046352363000000,0.206359,0.012705,0.219064,200
1775046352473000000,0.196720,0.013556,0.210276,200
1775046352446000000,0.218242,0.013196,0.231438,200
1775046352546000000,0.217190,0.011352,0.228542,200
1775046352518000000,0.254925,0.012485,0.267410,200
1775046352593000000,0.837349,0.015019,0.852368,200
1775046352569000000,0.197020,0.784346,0.981366,200
1775046352644000000,0.199816,0.063325,0.263141,200
1775046352619000000,0.203834,0.011393,0.215227,200
1775046352700000000,0.287650,0.013437,0.301087,200
1775046352767000000,0.225227,0.012975,0.238202,200
1775046352671000000,0.197612,0.026652,0.224264,200
1775046352794000000,0.197070,0.021192,0.218262,200
1775046352729000000,0.231258,0.016303,0.247561,200
1775046352847000000,0.219815,0.013307,0.233122,200
1775046352821000000,0.255827,0.012194,0.268021,200
1775046352933000000,0.200979,0.012334,0.213313,200
1775046352891000000,0.228543,0.012285,0.240828,200
1775046353005000000,0.786289,0.033016,0.819305,200
1775046352969000000,0.256358,0.042003,0.298361,200
1775046353062000000,0.195197,0.013056,0.208253,200
1775046353033000000,0.264013,0.014329,0.278342,200
1775046353129000000,0.193934,0.028507,0.222441,200
1775046353107000000,0.218022,0.011552,0.229574,200
1775046353180000000,0.191890,0.013207,0.205097,200
1775046353154000000,0.248502,0.012214,0.260716,200
1775046353237000000,0.189766,0.013978,0.203744,200
1775046353213000000,0.268823,0.030450,0.299273,200
1775046353292000000,0.200738,0.014308,0.215046,200
1775046353267000000,0.191560,0.012474,0.204034,200
1775046353343000000,0.191019,0.024378,0.215397,200
1775046353315000000,0.202992,0.066462,0.269454,200
1775046353396000000,0.193313,0.012555,0.205868,200
1775046353370000000,0.197591,0.012124,0.209715,200
1775046353451000000,0.207952,0.011953,0.219905,200
1775046353420000000,0.204986,0.013537,0.218523,200
1775046353537000000,0.198844,0.022214,0.221058,200
1775046353614000000,0.185327,0.011373,0.196700,200
1775046353487000000,0.792984,0.013607,0.806591,200
1775046353670000000,0.349955,0.035460,0.385415,200
1775046353790000000,0.195317,0.013257,0.208574,200
1775046353835000000,0.314353,0.013567,0.327920,200
1775046353582000000,0.195196,0.011233,0.206429,200
1775046353925000000,0.351697,0.039839,0.391536,200
1775046353953000000,0.223943,0.076151,0.300094,200
1775046353881000000,0.190949,0.012785,0.203734,200
1775046354021000000,0.201279,0.015260,0.216539,200
1775046353723000000,0.197041,0.011533,0.208574,200
1775046354089000000,0.197211,0.013577,0.210788,200
1775046354055000000,0.339102,0.013105,0.352207,200
1775046353990000000,0.183233,0.013126,0.196359,200
1775046354166000000,0.200607,0.011824,0.212431,200
1775046354129000000,0.277841,0.013016,0.290857,200
1775046354235000000,0.187923,0.020019,0.207942,200
1775046354204000000,0.419251,0.077603,0.496854,200
1775046354302000000,9.613637,0.012896,9.626533,200
1775046354270000000,0.224034,0.012555,0.236589,200
1775046354366000000,0.179776,0.014008,0.193784,200
1775046354338000000,0.224585,0.015651,0.240236,200
