arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775039141326469233,1775039141326469233,1775039141332701180,0.000000,6.231947,6.231947,200
1775039141359900805,1775039141359900805,1775039141366338560,0.000000,6.437755,6.437755,200
1775039141391549996,1775039141391549996,1775039141397906350,0.000000,6.356354,6.356354,200
1775039141441511254,1775039141441511254,1775039141447724394,0.000000,6.213140,6.213140,200
1775039141474586495,1775039141474586495,1775039141480964041,0.000000,6.377546,6.377546,200
1775039141508518852,1775039141508518852,1775039141515094039,0.000000,6.575187,6.575187,200
1775039141543316984,1775039141543316984,1775039141551793184,0.000000,8.476200,8.476200,200
1775039141584898975,1775039141584898975,1775039141595502729,0.000000,10.603754,10.603754,200
1775039141628184852,1775039141628184852,1775039141636879225,0.000000,8.694373,8.694373,200
1775039141666317588,1775039141666317588,1775039141672792016,0.000000,6.474428,6.474428,200
1775039141700837178,1775039141700837178,1775039141709342978,0.000000,8.505800,8.505800,200
1775039141737864019,1775039141737864019,1775039141744889177,0.000000,7.025158,7.025158,200
1775039141775032775,1775039141775032775,1775039141782532061,0.000000,7.499286,7.499286,200
1775039141830420437,1775039141830420437,1775039141836457840,0.000000,6.037403,6.037403,200
1775039141863271013,1775039141863271013,1775039141870159200,0.000000,6.888187,6.888187,200
1775039141900765994,1775039141900765994,1775039141908285871,0.000000,7.519877,7.519877,200
1775039141936040559,1775039141936040559,1775039141943369037,0.000000,7.328478,7.328478,200
1775039141973137612,1775039141973137612,1775039141980256886,0.000000,7.119274,7.119274,200
1775039142018933256,1775039142018933256,1775039142027217898,0.000000,8.284642,8.284642,200
1775039142053961563,1775039142053961563,1775039142060630856,0.000000,6.669293,6.669293,200
1775039142088653555,1775039142088653555,1775039142096476523,0.000000,7.822968,7.822968,200
1775039142126484385,1775039142126484385,1775039142133252424,0.000000,6.768039,6.768039,200
1775039142161763006,1775039142161763006,1775039142168842832,0.000000,7.079826,7.079826,200
1775039142197883187,1775039142197883187,1775039142206650193,0.000000,8.767006,8.767006,200
1775039142234450948,1775039142234450948,1775039142242374435,0.000000,7.923487,7.923487,200
1775039142271739103,1775039142271739103,1775039142279373937,0.000000,7.634834,7.634834,200
1775039142313190556,1775039142313190556,1775039142320327866,0.000000,7.137310,7.137310,200
1775039142361996259,1775039142361996259,1775039142368807343,0.000000,6.811084,6.811084,200
1775039142397398247,1775039142397398247,1775039142404117350,0.000000,6.719103,6.719103,200
1775039142454185481,1775039142454185481,1775039142460478711,0.000000,6.293230,6.293230,200
1775039142500438911,1775039142500438911,1775039142510045520,0.000000,9.606609,9.606609,200
1775039142538720246,1775039142538720246,1775039142545177039,0.000000,6.456793,6.456793,200
1775039142593580275,1775039142593580275,1775039142600030435,0.000000,6.450160,6.450160,200
1775039142631445051,1775039142631445051,1775039142640494004,0.000000,9.048953,9.048953,200
1775039142673905643,1775039142673905643,1775039142682592341,0.000000,8.686698,8.686698,200
1775039142713796798,1775039142713796798,1775039142722744741,0.000000,8.947943,8.947943,200
